鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
八德區,房地(土地+建物),桃園市八德區介壽路一段７７０號,6.2,住,,,1100707,土地1建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0681215,22.34,1,0,1,有,無,有,8500,380,,0.0,0,隔間套房,RPRNMLKKPHGGFFH28CC
八德區,房地(土地+建物),桃園市八德區義勇街６巷１０號,8.79,住,,,1100701,土地1建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0760525,31.68,1,0,1,有,無,有,9000,284,,0.0,0,隔間套房,RPSNMLKKPHGGFFH38CC
八德區,房地(土地+建物),桃園市八德區介壽路二段１８９巷１５號,6.26,,特定農業區,甲種建築用地,1100701,土地1建物0車位0,全,4,透天厝,住家用,加強磚造,0691202,22.57,1,0,1,有,無,有,7500,332,,0.0,0,隔間套房,RPUNMLKKPHGGFFH58CC
中壢區,房地(土地+建物),桃園市中壢區中山東路一段２２３巷１０９號６樓,4.13,住,,,1100622,土地1建物0車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830804,18.98,1,0,1,有,無,有,7000,369,,0.0,0,隔間套房,RPQNMLKKPHGGFBH77CC
中壢區,房地(土地+建物),桃園市中壢區成功路９４巷３５-３號,4.78,住,,,1100701,土地1建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,0800213,23.94,1,0,1,有,無,有,7000,292,,0.0,0,隔間套房,RPRNMLKKPHGGFBH87CC
中壢區,房地(土地+建物),桃園市中壢區成功路９４巷３５-３號,4.78,住,,,1100701,土地1建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,0800213,26.01,1,0,1,有,無,有,8000,308,,0.0,0,隔間套房,RPSNMLKKPHGGFBH97CC
中壢區,房地(土地+建物),桃園市中壢區成功路９４巷３５-３號,4.78,住,,,1100701,土地1建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,0800213,18.72,1,0,1,有,無,有,7000,374,,0.0,0,隔間套房,RPTNMLKKPHGGFBH08CC
蘆竹區,房地(土地+建物),桃園市蘆竹區南崁路二段１２５之１號,1024.8,工,,,1100702,土地1建物1車位0,見其他登記事項,1,工廠,工業用,磚造,0600820,1017.0,0,0,0,無,有,無,252000,,,0.0,0,,RPSNMLKKPHGGFEH28CC
桃園區,房地(土地+建物),桃園市桃園區大原路２７號,8.6,住,,,1100616,土地1建物0車位0,一層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830625,30.98,1,0,1,有,無,有,9500,307,,0.0,0,隔間套房,RPSNMLKKPHGGFAH87CC
桃園區,房地(土地+建物),桃園市桃園區大原路２７號,8.6,住,,,1100701,土地1建物0車位0,三層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830625,30.98,1,0,1,有,無,有,9500,307,,0.0,0,,RPTNMLKKPHGGFAH97CC
桃園區,房地(土地+建物),桃園市桃園區北埔路２０號,6.14,住,,,1100701,土地1建物0車位0,三層,4,套房(1房1廳1衛),住家用,加強磚造,0641006,15.12,1,0,1,有,無,有,7200,476,,0.0,0,,RPUNMLKKPHGGFAH08CC
中壢區,房地(土地+建物),桃園市中壢區成功路９４巷３５-４號,4.13,住,,,1100701,土地1建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,0800213,15.12,1,0,1,有,無,有,7000,463,,0.0,0,隔間套房,RPPNMLLKPHGGFBH77CC
中壢區,房地(土地+建物),桃園市中壢區成功路９４巷３５-４號,4.13,住,,,1100701,土地1建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,0800213,12.96,1,0,1,有,無,有,7000,540,,0.0,0,隔間套房,RPQNMLLKPHGGFBH87CC
中壢區,房地(土地+建物),桃園市中壢區成功路９４巷３５-４號,4.13,住,,,1100701,土地1建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,0800213,12.96,1,0,1,有,無,有,7000,540,,0.0,0,隔間套房,RPRNMLLKPHGGFBH97CC
中壢區,房地(土地+建物),桃園市中壢區成功路９４巷３５-４號,4.13,住,,,1100701,土地1建物0車位0,全,5,透天厝,住家用,鋼筋混凝土造,0800213,12.96,1,0,1,有,無,有,7000,540,,0.0,0,隔間套房,RPSNMLLKPHGGFBH08CC
中壢區,房地(土地+建物),桃園市中壢區吉林路９９巷６號,4.8,,工業區,丁種建築用地,1100701,土地1建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0800621,12.96,1,0,1,有,無,有,6500,502,,0.0,0,隔間套房,RPTNMLLKPHGGFBH18CC
中壢區,房地(土地+建物),桃園市中壢區吉林路９９巷６號,4.8,,工業區,丁種建築用地,1100701,土地1建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0800621,21.6,1,0,1,有,無,有,7000,324,,0.0,0,隔間套房,RPUNMLLKPHGGFBH28CC
中壢區,房地(土地+建物),桃園市中壢區吉林路９９巷６號,4.8,,工業區,丁種建築用地,1100701,土地1建物0車位0,全,4,透天厝,住家用,鋼筋混凝土造,0800621,12.96,1,0,1,有,無,有,6500,502,,0.0,0,隔間套房,RPVNMLLKPHGGFBH38CC
龜山區,房地(土地+建物)+車位,桃園市龜山區大湖一路１６５號４樓,67.81,住,,,1100710,土地1建物1車位1,四層,6,華廈(10層含以下有電梯),住宅（附屬機電空間）,鋼筋混凝土造,0971126,194.68,4,2,2,有,有,有,32000,164,坡道平面,30.61,0,租金含車位,RPQNMLLKPHGGFHH48CC
龜山區,房地(土地+建物),桃園市龜山區文化三路９３號５樓,14.71,住,,,1100709,土地1建物1車位0,見其他登記事項,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950117,106.44,3,2,2,有,有,有,25000,235,,0.0,0,,RPQPMLMKPHGGFHH78CC
八德區,建物,桃園市八德區東勇街７７號３樓之２,0.0,住,,,1100112,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840125,110.47999999999999,3,2,2,有,無,有,13000,118,,0.0,0,社會住宅 管理費/1700另計,RPXNMLMKPHGGFFH66EC
八德區,建物,桃園市八德區陸光街３７號２樓,0.0,住,,,1100705,土地0建物1車位0,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881125,135.69,3,2,2,有,無,有,16500,122,,0.0,0,,RPPNMLMKPHGGFFH28CC
八德區,房地(土地+建物),桃園市八德區豐德路４５巷１６號,40.46,住,,,1100709,土地1建物1車位0,全,2,透天厝,住家用,磚石造,0620801,30.82,2,2,1,有,無,有,15000,487,,0.0,0,,RPQNMLMKPHGGFFH38CC
